Max Power (W),Min Power (W),Average Power (W),Hour of Peak Power,Hour of Min Power,Different in Peak and Minimum Power (W),Difference in Peak and Minimum Hours
464,-240,120.4347826,8,18,704,10
380,-434,61.30434783,3,23,814,20
412,-536,77.13043478,21,17,948,4
578,-510,165.6521739,21,14,1088,7
788,-410,144.0869565,2,13,1198,11
498,-272,148.7826087,2,20,770,18
508,-354,134.8695652,8,16,862,8
598,-526,102.4347826,23,22,1124,1
560,-326,119.4782609,23,14,886,9
958,-244,155.0434783,3,17,1202,14
410,-354,140.173913,1,15,764,14
436,-386,137.9130435,1,19,822,18
538,-508,136.7826087,20,17,1046,3
562,-236,125.3913043,1,13,798,12
564,144,231.5652174,1,11,420,10
596,-522,101.1304348,2,14,1118,12
496,-358,139.9130435,2,19,854,17
594,-444,108.6086957,2,13,1038,11
1610,-342,200.173913,2,15,1952,13
1090,-468,154.5217391,2,12,1558,10
